TRADE ID,SOURCE_SYSTEM,TRADE_DATE,ANOMALY
1,A,10-01-2023 9:00 AM,N
2,A,11-01-2023 9:15 AM,N
3,A,10-01-2023 9:11 AM,N
4,A,11-01-2023 9:15 AM,N
5,A,17-01-2023 9:30 AM,N
6,A,18-01-2023 9:45 AM,N
7,A,21-01-2023 11:45 AM,N
8,A,25-01-2023 10:57 PM,Y
9,A,26-01-2023 10:40 AM,N
10,A,01-02-2023 12:00 PM,N
11,A,10-03-2023 9:10 AM,N
12,A,11-03-2023 10:15 AM,N
13,A,10-03-2023 11:00 AM,N
14,A,11-03-2023 12:35 PM,N
15,A,17-03-2023 1:30 PM,N
16,A,18-03-2023 11:25 AM,N
17,A,21-03-2023 11:45 AM,N
18,A,25-03-2023 4:17 PM,Y
19,A,26-03-2023 9:10 AM,N
20,A,01-03-2023 12:15 PM,N
21,A,10-03-2023 9:18 AM,N
22,A,11-04-2023 9:15 AM,N
23,A,10-04-2023 10:05 AM,N
24,A,11-04-2023 11:19 AM,N
25,A,17-04-2023 9:20 AM,N
26,A,18-04-2023 9:55 AM,N
27,A,21-04-2023 8:45 AM,N
28,A,25-04-2023 11:35 PM,Y
29,A,26-04-2023 10:03 AM,N
30,A,01-04-2023 12:00 PM,N
31,A,10-05-2023 9:00 AM,N
32,A,11-05-2023 9:15 AM,N
33,A,10-05-2023 9:10 AM,N
34,A,11-05-2023 9:15 AM,N
35,A,17-05-2023 9:30 AM,N
36,A,18-05-2023 9:45 AM,N
37,A,21-05-2023 11:45 AM,N
38,A,25-05-2023 10:25 PM,Y
39,A,26-05-2023 10:40 AM,N
40,A,01-05-2023 12:00 PM,N
41,A,10-02-2023 9:08 AM,N
42,A,11-02-2023 9:15 AM,N
43,A,10-02-2023 9:39 AM,N
44,A,11-02-2023 9:15 AM,N
45,A,17-02-2023 9:11 AM,N
46,A,18-02-2023 9:25 AM,N
47,A,21-02-2023 11:50 AM,N
48,A,25-02-2023 9:03 PM,Y
49,A,26-02-2023 10:43 AM,N
50,A,01-06-2023 12:10 PM,N
51,A,10-06-2023 9:42 AM,N
52,A,11-06-2023 9:35 AM,N
53,A,10-06-2023 9:10 AM,N
54,A,11-06-2023 9:14 AM,N
55,A,17-06-2023 9:38 AM,N
56,A,18-06-2023 9:46 AM,N
57,A,21-06-2023 11:49 AM,N
58,A,25-06-2023 12:10 AM,Y
59,A,26-06-2023 10:40 AM,N
60,A,01-06-2023 12:09 PM,N
61,A,10-01-2023 8:00 AM,N
62,A,11-01-2023 8:15 AM,N
63,A,10-01-2023 8:11 AM,N
64,A,11-01-2023 8:15 AM,N
65,A,17-01-2023 8:30 AM,N
66,A,18-01-2023 8:45 AM,N
67,A,21-01-2023 11:15 AM,N
68,A,25-01-2023 10:57 PM,Y
69,A,26-01-2023 2:40 PM,N
70,A,01-02-2023 12:00 PM,N
71,A,10-03-2023 1:10 PM,N
72,A,11-03-2023 11:15 AM,N
73,A,10-03-2023 11:20 AM,N
74,A,11-03-2023 12:35 PM,N
75,A,17-03-2023 1:30 PM,N
76,A,18-03-2023 2:25 PM,N
77,A,21-03-2023 3:45 PM,N
78,A,25-03-2023 4:37 PM,Y
79,A,26-03-2023 3:10 PM,N
80,A,01-03-2023 3:15 PM,N
81,A,10-03-2023 3:28 PM,N
82,A,11-04-2023 3:48 PM,N
83,A,10-04-2023 4:05 PM,N
84,A,11-04-2023 4:19 PM,N
85,A,17-04-2023 12:20 PM,N
86,A,18-04-2023 10:55 AM,N
87,A,21-04-2023 8:45 AM,N
88,A,25-04-2023 4:35 PM,Y
89,A,26-04-2023 10:03 AM,N
90,A,01-04-2023 12:00 PM,N
91,A,10-05-2023 8:00 AM,N
92,A,11-05-2023 2:15 PM,N
93,A,10-05-2023 2:10 PM,N
94,A,11-05-2023 2:15 PM,N
95,A,17-05-2023 2:30 PM,N
96,A,18-05-2023 2:45 PM,N
97,A,21-05-2023 11:45 AM,N
98,A,25-05-2023 11:13 PM,Y
99,A,26-05-2023 3:40 PM,N
100,A,01-05-2023 12:00 PM,N
101,A,10-02-2023 3:08 PM,N
102,A,11-02-2023 3:15 PM,N
103,A,10-02-2023 3:39 PM,N
104,A,11-02-2023 3:15 PM,N
105,A,17-02-2023 3:11 PM,N
106,A,18-02-2023 3:25 PM,N
107,A,21-02-2023 11:50 AM,N
108,A,25-02-2023 9:03 PM,Y
109,A,26-02-2023 10:13 AM,N
100,A,01-06-2023 8:10 AM,N
111,A,10-06-2023 1:12 PM,N
112,A,11-06-2023 1:35 PM,N
113,A,10-06-2023 1:16 PM,N
114,A,11-06-2023 1:14 PM,N
115,A,17-06-2023 2:38 PM,N
116,A,18-06-2023 1:46 PM,N
117,A,21-06-2023 11:49 AM,N
118,A,25-06-2023 12:10 AM,Y
119,A,26-06-2023 10:50 AM,N
120,A,01-06-2023 12:19 PM,N
121,A,02-06-2023 10:10 PM,Y
122,A,03-06-2023 10:45 PM,Y
123,A,04-06-2023 1:11 AM,Y
124,A,05-06-2023 1:32 AM,Y
125,A,06-06-2023 12:29 PM,Y
126,A,07-06-2023 1:40 AM,Y
127,A,08-06-2023 2:39 AM,Y
128,A,09-06-2023 1:52 AM,Y
129,A,10-06-2023 12:19 PM,Y
